Image_Name,Classification
AFBI329.jpg',0
AFBI330.jpg',0
AFBI331.jpg',0
AFBI332.jpg',0
AFBI333.jpg',0
AFBI334.jpg',0
AFBI335.jpg',0
AFBI336.jpg',1
AFBI337.jpg',1
AFBI338.jpg',1
AFBI339.jpg',1
AFBI340.jpg',1
AFBI341.jpg',1
AFBI342.jpg',1
AFBI343.jpg',0
AFBI344.jpg',0
AFBI345.jpg',0
AFBI346.jpg',0
AFBI347.jpg',1
AFBI348.jpg',0
AFBI349.jpg',0
AFBI350.jpg',0
AFBI351.jpg',1
AFBI352.jpg',0
AFBI353.jpg',1
AFBI354.jpg',0
AFBI355.jpg',0
AFBI356.jpg',1
AFBI357.jpg',0
AFBI358.jpg',0
AFBI359.jpg',0
AFBI361.jpg',1
AFBI362.jpg',1
AFBI363.jpg',2
AFBI366.jpg',0
AFBI367.jpg',0
AFBI368.jpg',2
AFBI369.jpg',0
AFBI370.jpg',0
AFBI371.jpg',0
AFBI372.jpg',1
AFBI373.jpg',1
AFBI374.jpg',0
AFBI377.jpg',0
AFBI378.jpg',0
AFBI379.jpg',0
AFBI380.jpg',0
AFBI381.jpg',0
AFBI382.jpg',0
AFBI383.jpg',0
AFBI384.jpg',0
AFBI385.jpg',0
AFBI387.jpg',0
AFBI388.jpg',0
AFBI390.jpg',1
AFBI391.jpg',0
AFBI392.jpg',0
AFBI393.jpg',0
AFBI394.jpg',0
AFBI395.jpg',0
AFBI396.jpg',0
AFBI397.jpg',0
AFBI398.jpg',1
AFBI399.jpg',0
AFBI400.jpg',0
AFBI401.jpg',0
AFBI402.jpg',0
AFBI403.jpg',0
AFBI404.jpg',0
AFBI405.jpg',0
AFBI406.jpg',0
AFBI407.jpg',0
AFBI408.jpg',0
AFBI409.jpg',0
AFBI410.jpg',0
AFBI411.jpg',0
AFBI412.jpg',0
AFBI413.jpg',0
AFBI414.jpg',0
AFBI415.jpg',0
AFBI416.jpg',0
AFBI417.jpg',0
AFBI418.jpg',0
AFBI419.jpg',1
AFBI420.jpg',2
AFBI421.jpg',1
AFBI422.jpg',0
AFBI423.jpg',0
AFBI425.jpg',1
AFBI426.jpg',0
AFBI427.jpg',1
AFBI429.jpg',0
AFBI430.jpg',0
AFBI431.jpg',2
AFBI432.jpg',1
AFBI433.jpg',1
AFBI435.jpg',0
AFBI436.jpg',0
AFBI437.jpg',1
AFBI438.jpg',1
AFBI441.jpg',2
AFBI442.jpg',0
AFBI443.jpg',0
AFBI445.jpg',1
AFBI446.jpg',0
AFBI447.jpg',0
AFBI448.jpg',0
AFBI449.jpg',0
AFBI450.jpg',0
AFBI451.jpg',1
AFBI452.jpg',0
AFBI454.jpg',1
AFBI455.jpg',1
AFBI456.jpg',0
AFBI457.jpg',0
AFBI458.jpg',2
AFBI459.jpg',1
AFBI460.jpg',1
AFBI461.jpg',0
AFBI462.jpg',0
AFBI464.jpg',0
AFBI465.jpg',0
AFBI466.jpg',1
AFBI467.jpg',0
AFBI468.jpg',1
AFBI469.jpg',1
AFBI470.jpg',1
AFBI471.jpg',1
AFBI472.jpg',1
AFBI473.jpg',1
AFBI474.jpg',1
AFBI475.jpg',1
AFBI479.jpg',1
AFBI480.jpg',0
AFBI481.jpg',0
AFBI482.jpg',0
AFBI483.jpg',1
AFBI484.jpg',1
AFBI485.jpg',1
AFBI486.jpg',2
AFBI488.jpg',1
AFBI489.jpg',0
AFBI492.jpg',1
AFBI493.jpg',0
AFBI495.jpg',1
AFBI496.jpg',0
AFBI497.jpg',2
AFBI498.jpg',0
AFBI499.jpg',0
AUPF001.jpg',0
AUPF003.jpg',0
AUPF004.jpg',0
AUPF005.jpg',0
AUPF006.jpg',0
AUPF007.jpg',0
AUPF008.jpg',0
AUPF011.jpg',1
AUPF012.jpg',1
AUPF013.jpg',1
AUPF015.jpg',1
AUPF016.jpg',1
AUPF017.jpg',0
AUPF018.jpg',0
AUPF019.jpg',0
AUPF020.jpg',1
AUPF021.jpg',1
AUPF022.jpg',1
AUPF023.jpg',1
AUPF024.jpg',1
AUPF025.jpg',1
AUPF026.jpg',1
AUPF028.jpg',0
AUPF029.jpg',0
AUPF030.jpg',1
AUPF031.jpg',0
AUPF032.jpg',1
AUPF033.jpg',0
AUPF034.jpg',0
AUPF035.jpg',1
AUPF036.jpg',1
AUPF037.jpg',0
AUPF038.jpg',0
AUPF039.jpg',0
AUPF040.jpg',0
AUPF041.jpg',0
AUPF042.jpg',0
AUPF043.jpg',0
AUPF044.jpg',0
AUPF045.jpg',0
AUPF046.jpg',0
AUPF047.jpg',0
AUPF048.jpg',0
AUPF049.jpg',0
AUPF050.jpg',1
AUPF051.jpg',0
AUPF052.jpg',1
AUPF053.jpg',0
AUPF054.jpg',0
AUPF055.jpg',0
AUPF056.jpg',0
AUPF057.jpg',0
AUPF058.jpg',0
AUPF059.jpg',0
AUPF060.jpg',0
AUPF061.jpg',0
AUPF062.jpg',1
AUPF063.jpg',1
AUPF064.jpg',0
AUPF066.jpg',2
AUPF067.jpg',2
AUPF068.jpg',3
AUPF069.jpg',3
AUPF074.jpg',2
AUPF081.jpg',3
AUPF085.jpg',3
AUPF086.jpg',4
AUPF095.jpg',0
AUPF096.jpg',0
AUPF097.jpg',2
AUPF098.jpg',0
AUPF101.jpg',1
AUPF102.jpg',1
AUPF103.jpg',1
AUPF104.jpg',3
AUPF105.jpg',1
AUPF106.jpg',0
AUPF107.jpg',0
AUPF108.jpg',2
AUPF109.jpg',0
AUPF110.jpg',1
AUPF117.jpg',0
AUPF118.jpg',0
AUPF120.jpg',0
AUPF121.jpg',0
AUPF123.jpg',1
AUPF124.jpg',0
AUPF125.jpg',0
AUPF126.jpg',1
AUPF127.jpg',2
AUPF128.jpg',1
AUPF129.jpg',1
AUPF130.jpg',1
AUPF131.jpg',1
AUPF132.jpg',1
AUPF133.jpg',0
AUPF134.jpg',0
AUPF135.jpg',1
AUPF136.jpg',0
AUPF137.jpg',0
AUPF138.jpg',1
AUPF139.jpg',1
AUPF140.jpg',1
AUPF141.jpg',0
AUPF143.jpg',0
AUPF152.jpg',0
AUPF153.jpg',1
AUPF157.jpg',1
AUPF158.jpg',0
AUPF159.jpg',0
AUPF160.jpg',0
AUPF161.jpg',1
AUPF162.jpg',1
AUPF163.jpg',1
AUPF164.jpg',1
AUPF166.jpg',1
AUPF167.jpg',2
AUPF168.jpg',2
AUPF169.jpg',2
AUPF170.jpg',0
AUPF171.jpg',1
AUPF172.jpg',0
AUPF173.jpg',1
AUPF174.jpg',0
AUPF176.jpg',1
AUPF177.jpg',0
AUPF180.jpg',1
AUPF181.jpg',2
AUPF182.jpg',2
AUPF186.jpg',1
AUPF189.jpg',2
AUPF190.jpg',3
AUPF191.jpg',0
AUPF192.jpg',1
AUPF193.jpg',0
AUPF194.jpg',2
AUPF196.jpg',1
AUPF197.jpg',0
AUPF198.jpg',0
AUPF199.jpg',0
AUPF200.jpg',1
AUPF201.jpg',0
AUPF202.jpg',0
AUPF203.jpg',0
AUPF204.jpg',0
AUPF205.jpg',0
AUPF206.jpg',0
AUPF207.jpg',0
AUPF208.jpg',0
AUPF210.jpg',0
AUPF212.jpg',1
AUPF213.jpg',0
AUPF222.jpg',1
AUPF223.jpg',1
AUPF224.jpg',1
AUPF225.jpg',1
AUPF227.jpg',1
AUPF228.jpg',0
AUPF229.jpg',1
AUPF230.jpg',1
AUPF231.jpg',1
AUPF233.jpg',2
AUPF238.jpg',2
AUPF239.jpg',1
AUPF240.jpg',3
AUPF241.jpg',2
AUPF242.jpg',2
AUPF243.jpg',1
AUPF245.jpg',0
AUPF246.jpg',0
AUPF247.jpg',0
AUPF248.jpg',2
AUPF249.jpg',2
AUPF250.jpg',2
AUPF252.jpg',2
AUPF253.jpg',2
AUPF255.jpg',3
AUPF256.jpg',4
AUPF257.jpg',4
AUPF259.jpg',4
AUPF260.jpg',3
AUPF261.jpg',4
AUPF265.jpg',1
AUPF266.jpg',0
AUPF267.jpg',0
AUPF268.jpg',0
AUPF269.jpg',0
AUPF270.jpg',0
AUPF271.jpg',0
AUPF272.jpg',1
AUPF274.jpg',0
AUPF275.jpg',0
AUPF276.jpg',0
AUPF277.jpg',1
AUPF278.jpg',0
AUPF279.jpg',0
AUPF282.jpg',0
AUPF283.jpg',1
AUPF284.jpg',0
AUPF285.jpg',0
AUPF286.jpg',0
AUPF287.jpg',0
AUPF288.jpg',1
AUPF289.jpg',0
AUPF291.jpg',1
AUPF292.jpg',0
AUPF293.jpg',1
AUPF295.jpg',1
AUPF296.jpg',0
AUPF297.jpg',0
AUPF298.jpg',0
AUPF299.jpg',0
AUPF302.jpg',0
AUPF303.jpg',1
AUPF304.jpg',0
AUPF305.jpg',0
AUPF306.jpg',1
AUPF309.jpg',1
AUPF310.jpg',2
AUPF312.jpg',0
AUPF315.jpg',0
AUPF316.jpg',1
AUPF320.jpg',1
AUPF321.jpg',0
AUPF329.jpg',0
AUPF331.jpg',1
AUPF334.jpg',1
AUPF336.jpg',0
AUPF342.jpg',1
AUPF347.jpg',3
AUPF349.jpg',1
AUPF354.jpg',0
AUPF355.jpg',0
AUPF356.jpg',2
AUPF357.jpg',1
AUPF358.jpg',1
AUPF359.jpg',1
AUPF361.jpg',2
AUPF362.jpg',2
AUPF363.jpg',1
AUPF364.jpg',2
AUPF366.jpg',1
AUPF368.jpg',0
AUPF369.jpg',0
AUPF374.jpg',1
AUPF376.jpg',1
AUPF378.jpg',2
AUPF380.jpg',1
AUPF381.jpg',1
AUPF382.jpg',1
AUPF383.jpg',0
AUPF384.jpg',1
AUPF387.jpg',1
AUPF388.jpg',1
AUPF395.jpg',1
AUPF399.jpg',1
AUPF402.jpg',0
AUPF403.jpg',1
AUPF405.jpg',1
AUPF407.jpg',1
AUPF408.jpg',2
AUPF409.jpg',1
AUPF410.jpg',1
AUPF412.jpg',1
AUPF413.jpg',2
AUPF414.jpg',2
AUPF415.jpg',3
AUPF417.jpg',1
AUPF418.jpg',2
AUPF422.jpg',1
AUPF425.jpg',1
AUPF428.jpg',0
AUPF430.jpg',1
AUPF434.jpg',1
AUPF448.jpg',1
AUPF449.jpg',1
AUPF453.jpg',0
AUPF456.jpg',1
AUPF457.jpg',0
AUPF458.jpg',1
AUPF461.jpg',2
AUPF462.jpg',2
AUPF463.jpg',1
AUPF468.jpg',1
AUPF469.jpg',1
AUPF470.jpg',1
AUPF472.jpg',0
AUPF475.jpg',1
AUPF476.jpg',0
AUPF477.jpg',0
AUPF481.jpg',0
AUPF483.jpg',0
AUPF484.jpg',0
AUPF485.jpg',0
AUPF486.jpg',1
AUPF487.jpg',1
AUPF490.jpg',1
AUPF491.jpg',0
AUPF492.jpg',1
AUPF493.jpg',0
AUPF494.jpg',0
AUPF495.jpg',0
AUPF497.jpg',1
AUPF499.jpg',1
AUPF500.jpg',1
